Date,NVDA,GOOGL,META,AAPL,AMZN,MSFT,TSLA
2021-03-08,11.560739517211914,99.62228393554688,253.5389404296875,113.33412170410156,147.59750366210938,218.19427490234375,187.6666717529297
2021-03-09,12.489448547363281,101.2529525756836,263.8965759277344,117.94110870361328,153.1425018310547,224.32582092285156,224.52667236328125
2021-03-10,12.437575340270996,101.04602813720703,263.0624084472656,116.85999298095703,152.8820037841797,223.02085876464844,222.68666076660156
2021-03-11,12.96153450012207,104.2394027709961,271.9801025390625,118.78849029541016,155.67950439453125,227.5403594970703,233.1999969482422
2021-03-12,12.824373245239258,101.73135375976562,266.53814697265625,117.88267517089844,154.47450256347656,226.21617126464844,231.2433319091797
2021-03-15,13.158797264099121,101.9516830444336,271.85107421875,120.76570892333984,154.08399963378906,225.31419372558594,235.97999572753906
2021-03-16,13.258551597595215,103.41314697265625,277.34271240234375,122.30461120605469,154.59300231933594,228.09693908691406,225.6266632080078
2021-03-17,13.308429718017578,103.33026885986328,282.03985595703125,121.51568603515625,156.7864990234375,227.45399475097656,233.93666076660156
2021-03-18,12.69119930267334,100.30909729003906,276.6872253417969,117.39568328857422,151.39950561523438,221.38963317871094,217.72000122070312
2021-03-19,12.81414794921875,100.58799743652344,288.0975036621094,116.86971282958984,153.7480010986328,221.0345916748047,218.2899932861328
2021-03-22,13.15381145477295,100.7730941772461,291.5037536621094,120.18131256103516,155.5435028076172,226.4464569091797,223.3333282470703
2021-03-23,13.038593292236328,101.30110168457031,288.61395263671875,119.35340881347656,156.875,227.97218322753906,220.72000122070312
2021-03-24,12.611895561218262,100.86439514160156,280.182861328125,116.96713256835938,154.35350036621094,225.93788146972656,210.08999633789062
2021-03-25,12.504410743713379,100.86091613769531,276.806396484375,117.4541244506836,152.31300354003906,222.944091796875,213.4633331298828
2021-03-26,12.807662963867188,100.47732543945312,281.05670166015625,118.05799865722656,152.60150146484375,226.91665649414062,206.23666381835938
2021-03-29,12.916397094726562,101.52243041992188,288.8026428222656,118.23331451416016,153.7864990234375,225.72682189941406,203.76333618164062
2021-03-30,12.840083122253418,101.5561752319336,286.0021667480469,116.78206634521484,152.76449584960938,222.47390747070312,211.8733367919922
2021-03-31,13.315410614013672,102.35265350341797,292.4869079589844,118.97355651855469,154.70399475097656,226.2353515625,222.64332580566406
2021-04-01,13.77777099609375,105.69044494628906,296.5882873535156,119.80145263671875,158.0500030517578,232.54930114746094,220.5833282470703
2021-04-05,13.953089714050293,110.11598205566406,306.7671813964844,122.62605285644531,161.3365020751953,238.99749755859375,230.35000610351562
2021-04-06,13.827400207519531,109.63462829589844,304.1355285644531,122.92796325683594,161.1909942626953,237.83644104003906,230.5399932861328
2021-04-07,14.1087064743042,111.1119613647461,310.9181213378906,124.57402801513672,163.96949768066406,239.79391479492188,223.6566619873047
2021-04-08,14.281780242919922,111.67769622802734,310.84857177734375,126.97006225585938,164.96499633789062,243.0084686279297,227.93333435058594
2021-04-09,14.364574432373047,112.6821060180664,310.2925109863281,129.54141235351562,168.61000061035156,245.5033416748047,225.67333984375
2021-04-12,15.171584129333496,111.38937377929688,309.3788757324219,127.82718658447266,168.96949768066406,245.56092834472656,233.9933319091797
2021-04-13,15.640928268432617,111.8761978149414,307.6112365722656,130.93423461914062,170.0,248.0365447998047,254.10667419433594
2021-04-14,15.239416122436523,111.25489044189453,300.7193603515625,128.59664916992188,166.64999389648438,245.2538299560547,244.07666015625
2021-04-15,16.097549438476562,113.40563201904297,305.6846923828125,131.00241088867188,168.95449829101562,249.0056915283203,246.28334045410156
2021-04-16,15.873353958129883,113.28157806396484,304.05609130859375,130.67127990722656,169.9720001220703,250.19554138183594,246.5933380126953
2021-04-19,15.323960304260254,113.62944793701172,300.1434020996094,131.3335723876953,168.60049438476562,248.27647399902344,238.2100067138672
2021-04-20,15.133927345275879,113.09598541259766,300.5505676269531,129.6485595703125,166.7344970703125,247.81585693359375,239.663330078125
2021-04-21,15.322712898254395,113.063232421875,299.3787536621094,130.02841186523438,168.1009979248047,250.0420379638672,248.0399932861328
2021-04-22,14.813718795776367,111.78141784667969,294.4631042480469,128.5089569091797,165.45199584960938,246.76992797851562,239.89666748046875
2021-04-23,15.227699279785156,114.13414001464844,299.0411071777344,130.82708740234375,167.04400634765625,250.58900451660156,243.13333129882812
2021-04-26,15.439924240112305,114.63038635253906,300.9378356933594,131.21670532226562,170.4499969482422,250.9728546142578,246.06666564941406
2021-04-27,15.343907356262207,113.68999481201172,301.4641418457031,130.895263671875,170.8715057373047,251.37582397460938,234.913330078125
2021-04-28,15.239167213439941,117.06747436523438,304.9697265625,130.10633850097656,172.9250030517578,244.26551818847656,231.46665954589844
2021-04-29,15.287049293518066,118.7408218383789,327.2242431640625,130.00894165039062,173.5655059814453,242.2983856201172,225.6666717529297
2021-04-30,14.972573280334473,116.79255676269531,322.824951171875,128.0414581298828,173.37100219726562,241.98175048828125,236.47999572753906
2021-05-03,14.800251007080078,116.27545166015625,320.34228515625,129.0933380126953,169.32449340820312,241.6746826171875,228.3000030517578
2021-05-04,14.315945625305176,114.4765396118164,316.15155029296875,124.52532958984375,165.593505859375,237.76927185058594,224.53334045410156
2021-05-05,14.422929763793945,114.87056732177734,312.8347473144531,124.76882934570312,163.52699279785156,236.50262451171875,223.64666748046875
2021-05-06,14.48727035522461,115.9911117553711,317.8000793457031,126.3661880493164,165.31849670410156,239.6308135986328,221.17999267578125
2021-05-07,14.775810241699219,116.7146224975586,316.8665771484375,127.03941345214844,164.58050537109375,242.25042724609375,224.1233367919922
2021-05-10,14.230653762817383,113.72819519042969,303.8475646972656,123.7612075805664,159.52450561523438,237.18394470214844,209.67999267578125
2021-05-11,14.271056175231934,112.6518325805664,304.40362548828125,122.84410095214844,161.19549560546875,236.2723388671875,205.73333740234375
2021-05-12,13.724653244018555,109.18750762939453,300.4512023925781,119.78052520751953,157.5970001220703,229.33470153808594,196.6300048828125
2021-05-13,13.631631851196289,110.61621856689453,303.1424560546875,121.92697143554688,158.07350158691406,233.20176696777344,190.56333923339844
2021-05-14,14.207961082458496,113.06471252441406,313.7483215332031,124.34659576416016,161.14500427246094,238.11468505859375,196.5800018310547
2021-05-17,14.13065242767334,113.58776092529297,313.271728515625,123.19532775878906,163.51950073242188,235.2648468017578,192.27667236328125
2021-05-18,13.981273651123047,112.27518463134766,307.80987548828125,121.80990600585938,161.61399841308594,233.24977111816406,192.6233367919922
2021-05-19,14.031148910522461,112.7232894897461,311.4146423339844,121.65380096435547,161.58999633789062,233.8267822265625,187.82000732421875
2021-05-20,14.57655143737793,114.48250579833984,316.39984130859375,124.20999145507812,162.38400268554688,237.05838012695312,195.5933380126953
2021-05-21,14.954869270324707,113.8462905883789,314.036376953125,122.37576293945312,160.1540069580078,235.79847717285156,193.6266632080078
2021-05-24,15.573596000671387,117.16671752929688,322.37811279296875,124.00511932373047,162.24949645996094,241.1940155029297,202.14666748046875
2021-05-25,15.609254837036133,117.25753784179688,325.5162048339844,123.80999755859375,162.95249938964844,242.0980987548828,201.56333923339844
2021-05-26,15.661375999450684,118.12300109863281,325.3870544433594,123.7612075805664,163.25799560546875,241.87689208984375,206.3766632080078
